mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33	33	64	64	1.0	0	0	2/4	2	1		V7		C	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
33	33	65	65	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
34	34	66	66	1.0	0	0	2/4	2	1		V65		C	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
34	34	67	67	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
35	35	68	68	1.0	0	0	2/4	2	1		V7		C	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
35	35	69	69	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
36	36	70	70	1.0	0	0	2/4	2	1		V65		C	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
36	36	71	71	1.0	1/4	1/4	2/4	2	1		V7]}		C	V		V7	V		7			]		}	Mm7	0	0	1, 5, 2, -1		1	1
37	37	72	72	1.0	0	0	2/4	2	1		I.V[V7{		C	I	V	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
37	37	73	73	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
38	38	74	74	1.0	0	0	2/4	2	1		V65		C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
38	38	75	75	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
39	39	76	76	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
39	39	77	77	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
40	40	78	78	1.0	0	0	2/4	2	1		V65		C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
40	40	79	79	1.0	1/4	1/4	2/4	2	1		IV6		C	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
41	41	80	80	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
41	41	81	81	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
42	42	82	82	1.0	0	0	2/4	2	1		V65		C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
42	42	83	83	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
43	43	84	84	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
43	43	85	85	1.0	1/4	1/4	2/4	2	1		IVM65		C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
44	44	86	86	1.0	0	0	2/4	2	1		V65		C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
44	44	87	87	1.0	1/4	1/4	2/4	2	1		IV6		C	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
45	45	88	88	1.0	0	0	2/4	2	1		V7]		C	I		V7	V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
45	45	89	89	1.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
46	46	90	90	1.0	0	0	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
46	46	91	91	1.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
47	47	92	92	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
47	47	93	93	1.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
48	48	94	94	1.0	0	0	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
48	48	95	95	1.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
49	49	96	96	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
49	49	97	97	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
50	50	98	98	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
50	50	99	99	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
51	51	100	100	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
51	51	101	101	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
52	52	102	102	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
52	52	103	103	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
53	53	104	104	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
53	53	105	105	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
54	54	106	106	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
54	54	107	107	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
55	55	108	108	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
55	55	109	109	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
56	56	110	110	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
56	56	111	111	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
57	57	112	112	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
57	57	113	113	7.0	1/4	1/4	2/4	2	1		V7(b5)}	bII}	C	I		V7(b5)	V		7	b5				}	Mm7	0	0	1, 5, -5, -1		1	1
61	61	120	120	1.0	0	0	2/4	2	1		I[IV6{		C	I	I	IV6	IV		6					{	M	0	0	3, 0, -1		-1	3
61	61	121	121	1.0	1/4	1/4	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
62	62	122	122	1.0	0	0	2/4	2	1		iii6		C	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
62	62	123	123	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
63	63	124	124	1.0	0	0	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
63	63	125	125	1.0	1/4	1/4	2/4	2	1		vi6		C	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
64	64	126	126	1.0	0	0	2/4	2	1		viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
64	64	127	127	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
65	65	128	128	1.0	0	0	2/4	2	1		IV6		C	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
65	65	129	129	1.0	1/4	1/4	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
66	66	130	130	1.0	0	0	2/4	2	1		iii6		C	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
66	66	131	131	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
67	67	132	132	1.0	0	0	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
67	67	133	133	1.0	1/4	1/4	2/4	2	1		vi6		C	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
68	68	134	134	1.0	0	0	2/4	2	1		viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
68	68	135	135	1.0	1/4	1/4	2/4	2	1		I6]}		C	I		I6	I		6			]		}	M	0	0	4, 1, 0		0	4
69	69	136	136	2.0	0	0	2/4	2	1		IV.I[V7{		C	IV	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
70	70	138	138	1.0	0	0	2/4	2	1		I		C	IV		I	I								M	0	0	0, 4, 1		0	0
70	70	139	139	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	IV		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
71	71	140	140	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
71	71	141	141	1.0	1/4	1/4	2/4	2	1		V7(9)		C	IV		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
72	72	142	142	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
72	72	143	143	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	IV		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
73	73	144	144	2.0	0	0	2/4	2	1		I.I[V7{		C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
74	74	146	146	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
74	74	147	147	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
75	75	148	148	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
75	75	149	149	1.0	1/4	1/4	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
76	76	150	150	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
76	76	151	151	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
77	77	152	152	2.0	0	0	2/4	2	1		IV.I[V7{		C	IV	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
78	78	154	154	1.0	0	0	2/4	2	1		I		C	IV		I	I								M	0	0	0, 4, 1		0	0
78	78	155	155	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	IV		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
79	79	156	156	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
79	79	157	157	1.0	1/4	1/4	2/4	2	1		V7(9)		C	IV		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
80	80	158	158	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
80	80	159	159	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	IV		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
81	81	160	160	2.0	0	0	2/4	2	1		I.I[V7{		C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
82	82	162	162	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
82	82	163	163	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
83	83	164	164	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
83	83	165	165	1.0	1/4	1/4	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
84	84		166		0	0	2/4	2	1	1	V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
84	84		167		1/4	1/4	2/4	2	1	1	I]|PAC}		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
85	84	166	168	10.0	0	0	2/4	2	1	2	V7|HC}		C	I		V7	V		7				HC	}	Mm7	0	0	1, 5, 2, -1		1	1
90	89	176	178	1.0	0	0	2/4	2	1		V{		C	I		V	V							{	M	0	0	1, 5, 2		1	1
90	89	177	179	1.0	1/4	1/4	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
91	90	178	180	1.0	0	0	2/4	2	1		V/VII		C	I		V/VII	V				VII				M	0	0	6, 10, 7		6	6
91	90	179	181	1.0	1/4	1/4	2/4	2	1		VII		C	I		VII	VII								M	0	0	5, 9, 6		5	5
92	91	180	182	1.0	0	0	2/4	2	1		V/bVII		C	I		V/bVII	V				bVII				M	0	0	-1, 3, 0		-1	-1
92	91	181	183	1.0	1/4	1/4	2/4	2	1		bVII		C	I		bVII	bVII								M	0	0	-2, 2, -1		-2	-2
93	92	182	184	1.0	0	0	2/4	2	1		V/VI		C	I		V/VI	V				VI				M	0	0	4, 8, 5		4	4
93	92	183	185	1.0	1/4	1/4	2/4	2	1		VI		C	I		VI	VI								M	0	0	3, 7, 4		3	3
94	93	184	186	1.0	0	0	2/4	2	1		V/bVI		C	I		V/bVI	V				bVI				M	0	0	-3, 1, -2		-3	-3
94	93	185	187	1.0	1/4	1/4	2/4	2	1		bVI		C	I		bVI	bVI								M	0	0	-4, 0, -3		-4	-4
95	94	186	188	1.0	0	0	2/4	2	1		V/V		C	I		V/V	V				V				M	0	0	2, 6, 3		2	2
95	94	187	189	6.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
98	97	193	195	3.0	1/4	1/4	2/4	2	2		I|PAC}		C	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
