mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	16									0					
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	17									0					
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	18									0					
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	19														
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	20														
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	21														
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	22														
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	23														
2	2	4	4	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	24									1					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	25									1					
3	3	8	8	0.0	0	0	Spanner	4/4	1	1	0													0			0		
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	26									0			0		
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	27									0			0		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	28									0			0		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	29									0			0		
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	30									0			0		
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	31									0			0		
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	32									0			0		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	33									0			0		
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	34												0		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	35												0		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	36												0		
3	3	11	11	0.0	3/4	3/4	Chord	4/4	1	2	0	acciaccatura	1/8	1	37												0		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	38												0		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	39														
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	40														
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	41														
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	42														
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0													0					
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0													0	0				
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	43									0	0				
4	4	13	13	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	44									0	0				
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	45									0	0				
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	46										0				
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	47										0				
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	48										0				
4	4	13	13	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	49										0				
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	50														
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51														
4	4	12	12	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	52									1					
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	53									1					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	54														
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					pp													
5	5	16	16	0.0	0	0	Spanner	4/4	1	1	0																		
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	55									2					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	56									2					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	57									2					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	58									2					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	59									2					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	60									2					
5	5	16	16	3.0	0	0	Chord	4/4	1	2	3/4		1/2	3/2	61														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	62														
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	63														
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	64														
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	65														
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	66														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	67														
5	5	16	16	4.0	0	0	Chord	4/4	2	2	1		1	1	68									3					
6	6	20	20	0.0	0	0	Spanner	4/4	1	1	0													2			1		
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	69									2			1		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	70									2			1		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	71									2			1		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	72									2			1		
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	73									2			1		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	74									2			1		
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	75												1		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	76												1		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	77												1		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	78														
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	79														
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	80														
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	81									3					
6	6	21	21	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	82									3					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	83									3					
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0													2					
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0													2	1				
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	84		articAccentAbove							2	1				
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	85									2	1				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	86									2	1				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	87									2	1				
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	88									2	1				
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	89									2	1				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	90									2	1				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	91									2	1				
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	92										1				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	93										1				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	94										1				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	95										1				
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	96														
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	97														
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	98														
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	99									3					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	100									3					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	101									3					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	102									3					
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0													2					
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	103									2					
8	8	29	29	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	104														
8	8	31	31	0.0	3/4	3/4	StaffText	4/4	1	1	0							poco più mosso											
8	8	31	31	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p													
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	105									4					
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	106									4					
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	107														
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	108														
8	8	29	29	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	109														
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	110														
8	8	29	29	0.0	1/4	1/4	Spanner	4/4	2	1	0																	0	0
8	8	29	29	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	111													0	0
8	8	31	31	0.0	3/4	3/4	Spanner	4/4	2	1	0																		
8	8	28	28	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	112									3					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	113														
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0													4			2		
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	114									4			2		
9	9	33	33	0.0	1/4	1/4	Spanner	4/4	1	1	0													4					
9	9	33	33	0.0	1/4	1/4	Spanner	4/4	1	1	0													4	2				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	115									4	2				
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	116														
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	117									5					
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	118									5					
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	119														
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	120														
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	121														
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	122									6					
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	123									6					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	124														
10	10	36	36	0.0	0	0	Spanner	4/4	1	1	0													5			3		
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	125									5, 7			3		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	126									5			3		
10	10	37	37	0.0	1/4	1/4	Spanner	4/4	1	1	0													5					
10	10	37	37	0.0	1/4	1/4	Spanner	4/4	1	1	0													5	3				
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	127									5, 8	3				
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	128									5	3				
10	10	38	38	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	129														
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	130									9					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	131									9					
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	132														
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	133														
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	134														
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	135									10					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	136									10					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	137														
11	11	40	40	0.0	0	0	Spanner	4/4	1	1	0															0			
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	138											0			
11	11	81/2	81/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	139		articAccentAbove							11		0			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	140									11		0			
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	141											0			
11	11	85/2	85/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	142		articAccentAbove							12		0			
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	143									12		0			
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	144											0			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	145											0			
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	146											0			
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	147											0			
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0																	1	1
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	148									13				1	1
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	149									13				1	1
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	2	1	0													13					
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	2	1	0													13				2	2
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	150									13				2	2
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	151									13				2	2
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	152											0			
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	153		articAccentAbove							14		0			
12	12	45	45	0.0	1/4	1/4	Dynamic	4/4	1	1	0					f								14					
12	12	45	45	0.0	1/4	1/4	Spanner	4/4	1	1	0													14					
12	12	45	45	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	154									14					
12	12	45	45	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	155									14					
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	156									14					
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	157									14					
12	12	46	46	0.0	1/2	1/2	StaffText	4/4	1	1	0							rit.						14					
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	158									14					
12	12	93/2	93/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													14	4				
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	159									14	4				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	160									14	4				
12	12	95/2	95/2	0.0	7/8	7/8	Chord	4/4	1	1	0	acciaccatura	1/8	1	161										4				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	162										4				
12	12	44	44	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	163										4				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	164										4				
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	165										4				
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0																		
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0																	3	3
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	166													3	3
12	12	45	45	0.0	1/4	1/4	Spanner	4/4	2	1	0																		
12	12	45	45	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	167									15					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	168														
13	13	48	48	0.0	0	0	Dynamic	4/4	1	1	0					p													
13	13	48	48	0.0	0	0	StaffText	4/4	1	1	0							Tempo 1											
13	13	48	48	0.0	0	0	Spanner	4/4	1	1	0																		
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	169									16					
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	170									16					
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	171									16					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	172									16					
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	173									16					
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	174									16					
13	13	48	48	3.0	0	0	Chord	4/4	1	2	3/4		1/2	3/2	175														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	176														
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	177														
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	178														
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	179														
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	180														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	181														
13	13	48	48	4.0	0	0	Chord	4/4	2	2	1		1	1	182									17					
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	183									16					
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	184									16					
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	185									16					
14	14	54	54	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	186									16					
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	187									16					
14	14	52	52	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	188														
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	189														
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	190														
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	191														
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	192														
14	14	52	52	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	193									17					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	194									17					
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	195									16					
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	196									16					
15	15	57	57	0.0	1/4	1/4	Spanner	4/4	1	1	0													16			4		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	197									16			4		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	198									16			4		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	199									16			4		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	200									16			4		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	201									16			4		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	202									16			4		
15	15	56	56	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	203												4		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	204												4		
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	205												4		
15	15	59	59	0.0	3/4	3/4	Chord	4/4	1	2	0	acciaccatura	1/8	1	206												4		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	207												4		
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	208														
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	209														
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	210														
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	211														
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0													16					
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0													16	5				
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	212									16	5				
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	213									16	5				
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	214									16	5				
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	215										5				
16	16	60	60	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	216										5				
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	217										5				
16	16	61	61	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	218										5				
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	219														
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	220														
16	16	60	60	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	221									17					
16	16	61	61	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	222									17					
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	223														
17	17	64	64	0.0	0	0	Dynamic	4/4	1	1	0					pp													
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0																		
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	224									18					
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	225									18					
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	226									18					
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	227									18					
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	228									18					
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	229									18					
17	17	64	64	3.0	0	0	Chord	4/4	1	2	3/4		1/2	3/2	230														
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	231														
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	232														
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	233														
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	234														
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	235														
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	236														
17	17	64	64	4.0	0	0	Chord	4/4	2	2	1		1	1	237									19					
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	238									18					
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	239									18					
18	18	69	69	0.0	1/4	1/4	Spanner	4/4	1	1	0													18			5		
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	240									18			5		
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	241									18			5		
18	18	70	70	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	242									18			5		
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	243									18			5		
18	18	68	68	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	244												5		
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	245												5		
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	246														
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	247														
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	248														
18	18	68	68	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	249									19					
18	18	69	69	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	250									19					
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	251									19					
19	19	72	72	0.0	0	0	Spanner	4/4	1	1	0													18					
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	252									18					
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	253									18					
