mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0							Allegretto semplice										
1	0	0	0	0.0	0	5/8	Dynamic	6/8	1	1	0					p												
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0								𝅘𝅥𝅮=116	58.0	𝅘𝅥𝅮	116.0	1.0					
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8		1/8	1	0		articAccentAbove							0				
1	0	0	0	0.5	0	5/8	Chord	6/8	1	2	1/8		1/8	1	1													
1	0	0	0	0.5	0	5/8	Chord	6/8	2	1	1/8		1/8	1	2		articAccentAbove											
2	1	1/2	1/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	3									0				
2	1	5/4	5/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	4									0				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	5									0				
2	1	2	2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	6													
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	7		articAccentAbove							1				
2	1	1/2	1/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	8													
2	1	2	2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	9													
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	10													
2	1	1/2	1/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	11													
2	1	2	2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	12													
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	13		articAccentAbove											
2	1	1/2	1/2	0.75	0	0	Chord	6/8	2	2	3/16		1/8	3/2	14													
2	1	5/4	5/4	0.25	3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	15													
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	16													
2	1	2	2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	17													
3	2	7/2	7/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	18									1				
3	2	7/2	7/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	19									1				
3	2	7/2	7/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	20									1				
3	2	17/4	17/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	21									1				
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	22									1				
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	23													
3	2	6	6	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	24									2				
3	2	25/4	25/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	25									2				
3	2	7/2	7/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	26													
