mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><b>Allegretto tanquillamente</b>"									
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p											
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0				
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0												
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	1												
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	2												
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	3												
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	4												
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	5												
2	2	3	3	0.0	0	0	Spanner	3/4	1	1	0																0
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	6									0			0
2	2	10/3	10/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	7									0			0
2	2	10/3	10/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	8									0			0
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	9									0			0
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	10												0
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	11												0
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	12												0
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	13												0
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	14												
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	15												
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	16									1			
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	17									1			
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	18									1			
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													1		0	
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	19									1		0	
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	20											0	
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	21											0	
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	22												
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0																
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	23												
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	24												
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	25												
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	26												
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	27												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	28												
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	29												
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	30												
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	31												
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	32												
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	33												
6	6	15	15	0.0	0	0	Spanner	3/4	1	1	0																1
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	34									2			1
6	6	46/3	46/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	35									2			1
6	6	46/3	46/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	36									2			1
