mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	4	9	9	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	26				0					
4	4	39/4	39/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	27				0					
4	4	21/2	21/2	1.125	3/8	3/8	Chord	6/8	1	1	9/32		1/4	9/8	28				0					
4	4	93/8	93/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32		1/8	3/4	29				0					
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	30									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	31									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	32									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	33									
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	34									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	35									
5	5	12	12	0.0	0	0	Spanner	6/8	1	1	0								0	0				
5	5	12	12	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	36				0	0				
5	5	51/4	51/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	37				0	0				
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/2	3/4	38					0				
5	5	12	12	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	39									
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	40									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	41									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	42									
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	43									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	44									
6	6	15	15	0.0	0	0	Dynamic	6/8	1	1	0					pp								
6	6	15	15	0.0	0	0	Spanner	6/8	1	1	0													
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	45				1					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	46				1					
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	47				1					
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	48				1					
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	49									
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	50									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	51									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	52									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	53									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	54									
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	55				1					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	56				1					
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	57				1					
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	58		articAccentAbove		1					
7	7	18	18	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	59									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	60									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	61									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	62									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	63									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	64									
8	8	21	21	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	65				1					
8	8	87/4	87/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	66				1					
8	8	45/2	45/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	67				1					
8	8	45/2	45/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	68				1					
8	8	45/2	45/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/4	3/4	69				1					
8	8	93/4	93/4	0.0	9/16	9/16	Spanner	6/8	1	1	0								1	1				
8	8	93/4	93/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/4	3/4	70				1	1				
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	71									
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	72									
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	73									
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	74									
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	75									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	76									
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	77				1	1				
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	78				1	1				
9	9	53/2	53/2	0.0	5/8	5/8	Spanner	6/8	1	1	0								1					
9	9	53/2	53/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	79				1					
9	9	107/4	107/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	80									
9	9	24	24	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	81									
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	82									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	83									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	84									
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	85									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	86									
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	87				2					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	88				2					
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	89				2					
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								2		1			
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	90				2		1			
10	10	27	27	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	91									
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	92									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	93									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	94									
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	95									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	96									
11	11	30	30	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	97				2		1			
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	98				2		1			
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	99				2		1			
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								2					
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	100		articAccentAbove		2					
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	101									
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	102									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	103									
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	104									
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	105									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	106									
12	12	33	33	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	107				2					
12	12	135/4	135/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	108				2					
12	12	69/2	69/2	1.125	3/8	3/8	Chord	6/8	1	1	9/32		1/4	9/8	109				2					
12	12	285/8	285/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32		1/8	3/4	110				2					
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	111									
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	112									
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	113									
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	114									
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	115									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	116									
13	13	36	36	0.0	0	0	Spanner	6/8	1	1	0								2	2				
13	13	36	36	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	117				2	2				
13	13	147/4	147/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	118				2	2				
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/2	3/4	119					2				
13	13	36	36	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	120									
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	121									
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	122									
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	123									
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	124									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	125									
14	14	39	39	0.0	0	0	Dynamic	6/8	1	1	0					pp								
14	14	39	39	0.0	0	0	Spanner	6/8	1	1	0													
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	126				3					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	127				3					
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	128				3					
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	129				3					
14	14	39	39	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	130									
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	131									
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	132									
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	133									
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	134									
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	135									
15	15	42	42	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	136				3					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	137				3					
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	138				3					
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	139		articAccentAbove		3					
15	15	42	42	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	140									
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	141									
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	142									
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	143									
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	144									
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	145									
16	16	45	45	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	146				3					
16	16	183/4	183/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	147				3					
16	16	93/2	93/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	148				3					
16	16	93/2	93/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	149				3					
16	16	93/2	93/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/4	3/4	150				3					
16	16	189/4	189/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/4	3/4	151				3					
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	152									
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	153									
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	154									
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	155									
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	156									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	157									
17	17	48	48	0.0	0	0	Spanner	6/8	1	1	0									3				
17	17	48	48	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	158					3				
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	159									
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	160									
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	161									
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	162									
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	163									
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	164									
18	18	51	51	0.0	0	0	StaffText	6/8	1	1	0							♮						
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0													
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0											0		
18	18	51	51	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	165							0		
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	166									
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	167									
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	168									
18	18	105/2	105/2	0.0	3/8	3/8	Spanner	6/8	2	1	0										2			
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	169						2			
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	170						2			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	171						2			
19	19	54	54	0.0	0	0	Spanner	6/8	1	1	0									4		0		
19	19	54	54	0.0	0	0	Chord	6/8	1	1	0	grace16after	1/16	1	172					4		0		
19	19	54	54	0.0	0	0	Chord	6/8	1	1	0	grace16after	1/16	1	173					4		0		
19	19	54	54	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	174					4		0		
19	19	56	56	0.0	1/2	1/2	Spanner	6/8	1	1	0									4				
19	19	54	54	0.0	0	0	Spanner	6/8	2	1	0													
19	19	54	54	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	175									
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	176									
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	177									
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	178									
19	19	56	56	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	179									
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	180									
20	20	57	57	0.0	0	0	Spanner	6/8	1	1	0													
20	20	57	57	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	181									
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	182									
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	183									
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	184									
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	185									
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	186									
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	187									
20	20	57	57	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	188									
21	21	60	60	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	189									
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	190									
21	21	60	60	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	191									
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	192									
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	193									
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	194									
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	195									
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	196									
21	21	60	60	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	197									
22	22	63	63	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	198									
22	22	63	63	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	199									
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	200									
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	201									
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	202									
22	22	65	65	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	203									
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	204									
22	22	63	63	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	205									
23	23	66	66	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>dim.</i>"						
23	23	66	66	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	206									
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	207									
23	23	66	66	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	208									
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	209									
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	210									
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	211									
23	23	68	68	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	212									
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	213									
23	23	66	66	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	214									
24	24	69	69	0.0	0	0	Dynamic	6/8	1	1	0					pp								
24	24	69	69	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	215				4					
24	24	141/2	141/2	0.0	3/8	3/8	Spanner	6/8	1	2	0										3			
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	216						3			
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	3	1/8		1/8	1	217				5		3			
24	24	71	71	0.5	1/2	1/2	Chord	6/8	1	3	1/8		1/8	1	218				5		3			
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	3	1/8		1/8	1	219						3			
24	24	71	71	1.0	1/2	1/2	Chord	6/8	1	4	1/4		1/4	1	220						3			
24	24	69	69	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	221									
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	222									
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	223									
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	224									
24	24	69	69	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	225									
24	24	139/2	139/2	1.0	1/8	1/8	Chord	6/8	2	3	1/4		1/4	1	226									
25	25	72	72	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	227				4		3			
25	25	145/2	145/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	228				4		3			
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	229				4, 6		3			
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	230				4					
25	25	74	74	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	231									
25	25	149/2	149/2	0.0	5/8	5/8	Spanner	6/8	1	1	0									5				
25	25	149/2	149/2	0.125	5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	232					5				
25	25	597/8	597/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	233					5				
25	25	299/4	299/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	234					5				
25	25	599/8	599/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	235					5				
25	25	72	72	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	236					5				
25	25	145/2	145/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	237					5				
25	25	147/2	147/2	0.0	3/8	3/8	Spanner	6/8	1	2	0									5				
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	238					5				
25	25	72	72	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	239									
26	26	75	75	0.0	0	0	Spanner	6/8	1	1	0													
26	26	75	75	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	240				7					
26	26	151/2	151/2	0.0	1/8	1/8	Dynamic	6/8	1	1	0					p			7					
26	26	151/2	151/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	241				7					
26	26	76	76	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	242				7					
26	26	153/2	153/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								7		4			
26	26	153/2	153/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	243				7		4			
26	26	75	75	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	244									
26	26	151/2	151/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	245									
26	26	76	76	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	246									
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	247									
26	26	77	77	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	248									
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	249									
27	27	78	78	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	250				7		4			
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	251				7		4			
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252				7		4			
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								7					
27	27	159/2	159/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	253		articAccentAbove		7					
27	27	78	78	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	254									
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	255									
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	256									
27	27	159/2	159/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	257									
27	27	80	80	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	258									
