mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<b><font size=""12""/><font face=""Times New Roman""/>Lento</b>"											
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0						
1	1	1	1	0.0	1/4	1/4	Dynamic	2/2	1	1	0					pp													
1	1	1	1	3.0	1/4	1/4	Chord	2/2	1	1	3/4		1/2	3/2	0														
1	1	1	1	3.0	1/4	1/4	Chord	2/2	2	1	3/4		1/2	3/2	1														
2	2	5	5	3.0	1/4	1/4	Chord	2/2	1	1	3/4		1/2	3/2	2														
2	2	5	5	3.0	1/4	1/4	Chord	2/2	2	1	3/4		1/2	3/2	3														
3	3	8	8	0.0	0	0	Dynamic	2/2	2	1	0					p													
3	3	8	8	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	4														
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	5														
3	3	9	9	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	6														
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	7														
3	3	10	10	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	8														
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	9														
3	3	11	11	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	10														
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	11														
4	4	12	12	0.0	0	0	StaffText	2/2	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cantabile</i>"											
4	4	12	12	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	12														
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	13														
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	14														
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	1	1	0																		0
4	4	14	14	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	15														0
4	4	15	15	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	16														0
4	4	12	12	0.5	0	0	Chord	2/2	1	2	1/8		1/8	1	17														0
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	18														0
