mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<font size=""14""/><font face=""Times New Roman""/><b>Allegro grazioso</b>"					
1	1	0	0	0.0	0	0	Dynamic	2/2	1	1	0					p							
1	1	0	0	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	0				0				
1	1	1	1	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1				0				
1	1	2	2	0.0	1/2	1/2	Spanner	2/2	1	1	0								0		0		
1	1	2	2	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	2				0		0		
1	1	3	3	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	3				0		0		
1	1	0	0	4.0	0	0	Chord	2/2	1	2	1		1	1	4						0		
1	1	0	0	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	5								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	6								
1	1	1	1	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	7								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	8								
1	1	2	2	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	9								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	10								
1	1	3	3	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	11								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	12								
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	13				0		0		
2	2	5	5	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	14				0		0		
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	1	1	0												
2	2	6	6	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	15								
2	2	4	4	4.0	0	0	Chord	2/2	1	2	1		1	1	16								
2	2	4	4	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	17								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	18								
2	2	5	5	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	19								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	20								
2	2	6	6	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	21								
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	22								
2	2	7	7	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	23								
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	24								
3	3	9	9	0.0	1/4	1/4	Spanner	2/2	1	1	0										1		
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	25				1		1		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	26				1		1		
3	3	10	10	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	27				1		1		
3	3	11	11	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	28				1		1		
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	29						1		
3	3	8	8	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	30								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	31								
3	3	9	9	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	32								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	33								
3	3	10	10	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	34								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	35								
3	3	11	11	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	36								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	37								
4	4	12	12	0.0	0	0	Spanner	2/2	1	1	0								1				
4	4	12	12	0.0	0	0	Spanner	2/2	1	1	0								1	0			
4	4	12	12	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	38				1	0			
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	1	1	0												
4	4	14	14	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	39								
4	4	12	12	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	40								
4	4	13	13	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	41								
4	4	14	14	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	42								
4	4	12	12	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	43								
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	44								
4	4	13	13	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	45								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	46								
4	4	14	14	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	47								
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	48								
4	4	15	15	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	49								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	50								
5	5	16	16	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	51				2				
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	52				2				
5	5	17	17	0.0	1/4	1/4	Spanner	2/2	1	1	0								2		2		
5	5	17	17	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	53				2		2		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	54				2		2		
5	5	18	18	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	55				2		2		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	56				2		2		
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	57				2		2		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	58				2		2		
5	5	17	17	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	59						2		
5	5	18	18	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	60						2		
5	5	16	16	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	61								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	62								
5	5	17	17	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	63								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	64								
5	5	18	18	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	65								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	66								
5	5	19	19	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	67								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	68								
6	6	20	20	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	69				2		2		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	70				2		2		
6	6	21	21	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	71				2		2		
6	6	43/2	43/2	0.0	3/8	3/8	Spanner	2/2	1	1	0								2				
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	72				2				
6	6	22	22	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	73								
6	6	20	20	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	74								
6	6	21	21	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	75								
6	6	20	20	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	76								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	77								
6	6	21	21	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	78								
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	79								
6	6	22	22	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	80								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	81								
6	6	23	23	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	82								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	83								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	84				3				
7	7	25	25	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	85				3				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	86				3				
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	1	1	0								3		3		
7	7	26	26	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	87				3		3		
7	7	27	27	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	88				3		3		
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	89				3		3		
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	90						3		
7	7	24	24	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	91								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	92								
7	7	25	25	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	93								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	94								
7	7	26	26	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	95								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	96								
7	7	27	27	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	97								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	98								
8	8	28	28	0.0	0	0	Spanner	2/2	1	1	0								3				
8	8	28	28	0.0	0	0	Spanner	2/2	1	1	0								3	1			
8	8	28	28	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	99				3	1			
8	8	30	30	0.0	1/2	1/2	Spanner	2/2	1	1	0												
8	8	30	30	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	100								
8	8	28	28	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	101								
8	8	29	29	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	102								
8	8	30	30	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	103								
8	8	28	28	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	104								
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	105								
8	8	29	29	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	106								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	107								
8	8	30	30	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	108								
8	8	61/2	61/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	109								
8	8	31	31	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	110								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	111								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	112								
