mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	34									5			2	
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	35									5			2	
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	36												2	
3	3	4	4	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	37												2	
4	4	6	6	0.0	0	0	Spanner	2/4	1	1	0																	
4	4	6	6	0.0	0	0	Spanner	2/4	1	1	0														1			
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	38										1			
4	4	13/2	13/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	39													
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	40													
4	4	6	6	0.0	0	0	Spanner	2/4	2	1	0																	
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	41									6				
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	42									6				
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	43									6				
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	44													
4	4	7	7	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	45									7				
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	46									7				
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	47									7				
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	48													
4	4	6	6	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	49													
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	50		articStaccatoBelow											
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	51									8				
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	52													
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	53									9				
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	54									10				
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	55									10				
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	56									10				
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	57													
5	5	9	9	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	58									11				
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	59									11				
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	60									11				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	61													
5	5	8	8	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	62													
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	63													
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	64													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	65													
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	66													
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	67									12				
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	68									12				
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	69									12				
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	70													
6	6	11	11	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	71									13				
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	72									13				
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	73									13				
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	74													
6	6	10	10	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	75													
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	76													
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	77		articStaccatoBelow											
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	78									14				
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	79													
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	80													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81									15				
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	82									16				
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	83									16				
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	84									16				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	85													
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	86									17				
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	87									17				
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	88									17				
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	89													
7	7	12	12	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	90													
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	91													
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	92													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	93													
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	94													
8	8	14	14	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	95									18				
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	96									18				
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	97									18				
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	98													
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	99									19				
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	100									19				
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	101									19				
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	102													
8	8	14	14	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	103													
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	104													
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	105									20				
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	106									20				
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	107									20				
9	9	17	17	0.0	1/4	1/4	Spanner	2/4	1	1	0													20		2		
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	108									20		2		
9	9	69/4	69/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													20				
9	9	69/4	69/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													20	2			
9	9	69/4	69/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	109									20	2			
9	9	71/4	71/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																	
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	110													
9	9	16	16	0.0	0	0	Spanner	2/4	2	1	0																3	3
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	111									21			3	3
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	112									21			3	3
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	113									21			3	3
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	114												3	3
9	9	17	17	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
9	9	16	16	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	115													
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	116									22				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	117													
10	10	18	18	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	118									23				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	119													
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	120									24				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	121													
10	10	18	18	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	122													
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	123									25				
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	124									25				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	125									25				
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	1	1	0													25		3		
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	126									25		3		
11	11	85/4	85/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													25				
11	11	85/4	85/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													25	3			
11	11	85/4	85/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	127									25	3			
11	11	87/4	87/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																	
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	128													
11	11	20	20	0.0	0	0	Spanner	2/4	2	1	0																4	4
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	129									26			4	4
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	130									26			4	4
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	131									26			4	4
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	132												4	4
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
11	11	20	20	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	133													
12	12	22	22	0.0	0	0	Chord	2/4	1	1	0	grace16after	1/16	1	134													
12	12	22	22	0.0	0	0	Chord	2/4	1	1	0	grace16after	1/16	1	135									27				
12	12	22	22	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	136									27				
12	12	22	22	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	137									28				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	138													
12	12	22	22	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	139									29				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	140													
12	12	22	22	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	141													
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	142		articStaccatoBelow											
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	143													
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	1	1	0															4		
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	144											4		
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	145											4		
13	13	24	24	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	146									30				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	147									30				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	148									30				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	149													
13	13	25	25	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	150									31				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	151									31				
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	152									31				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	153													
14	14	26	26	0.0	0	0	Spanner	2/4	1	1	0																	
14	14	26	26	0.0	0	0	Spanner	2/4	1	1	0														4			
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	154										4			
14	14	53/2	53/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	155													
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	156													
14	14	26	26	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	157									32				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	158									32				
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	159									32				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	160													
14	14	27	27	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	161									33				
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	162									33				
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	163									33				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	164													
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	165													
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	166													
15	15	29	29	0.0	1/4	1/4	Spanner	2/4	1	1	0															5		
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	167											5		
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	168											5		
15	15	28	28	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	169									34				
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	170									34				
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	171									34				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	172													
15	15	29	29	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	173									35				
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	174									35				
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	175									35				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	176													
15	15	28	28	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	177													
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0																	
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0														5			
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	178										5			
16	16	61/2	61/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	179													
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	180													
16	16	30	30	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	181									36				
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	182									36				
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	183									36				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	184													
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	185									37				
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	186									37				
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	187									37				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	188													
16	16	30	30	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	189													
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	190													
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	191									38				
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	192		articStaccatoBelow											
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	193													
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	194									39				
17	17	32	32	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	195									40				
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	196									40				
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	197									40				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	198													
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	199									41				
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	200									41				
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	201									41				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	202													
17	17	32	32	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	203													
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	204													
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	205		articStaccatoBelow											
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	206													
18	18	35	35	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	207													
18	18	34	34	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	208									42				
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	209									42				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	210									42				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	211													
18	18	35	35	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	212									43				
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	213									43				
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	214									43				
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	215													
18	18	34	34	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	216													
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	217													
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	218									44				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	219									44				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	220									44				
19	19	37	37	0.0	1/4	1/4	Spanner	2/4	1	1	0													44		6		
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	221									44		6		
19	19	149/4	149/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													44				
19	19	149/4	149/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													44	6			
19	19	149/4	149/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	222									44	6			
19	19	151/4	151/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																	
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	223													
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	224									45				
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	225									45				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	226									45				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	227													
19	19	36	36	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	228													
20	20	38	38	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	229									46				
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	230													
20	20	38	38	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	231									47				
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	232													
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	233									48				
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	234													
20	20	38	38	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	235									49				
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	236													
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	237									50				
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	238									50				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	239									50				
21	21	41	41	0.0	1/4	1/4	Spanner	2/4	1	1	0													50		7		
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	240									50		7		
21	21	165/4	165/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													50				
21	21	165/4	165/4	0.0	5/16	5/16	Spanner	2/4	1	1	0													50	7			
21	21	165/4	165/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	241									50	7			
21	21	167/4	167/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																	
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	242													
21	21	40	40	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	243									51				
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	244									51				
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	245									51				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	246													
21	21	40	40	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	247													
